1.000000000000000021e-02 1.214321510203227206e+01 1.659625471929689411e+01 1.111111111111111164e-04
1.023292992280754217e-02 1.214623201572075040e+01 1.655020304607438675e+01 1.136992213645282400e-04
1.047128548050899575e-02 1.214925733572841970e+01 1.650415137411734534e+01 1.163476164500999531e-04
1.071519305237606488e-02 1.215229110902945564e+01 1.645809970348144802e+01 1.190577005819562804e-04
1.096478196143185063e-02 1.215533338299272970e+01 1.641204803422479586e+01 1.218309106825761202e-04
1.122018454301963557e-02 1.215838420538623943e+01 1.636599636640804434e+01 1.246687171446626168e-04
1.148153621496882971e-02 1.216144362438159909e+01 1.631994470009449927e+01 1.275726246107647800e-04
1.174897554939529666e-02 1.216451168855859422e+01 1.627389303535023757e+01 1.305441727710588415e-04
1.202264434617413176e-02 1.216758844690979657e+01 1.622784137224422096e+01 1.335849371797125649e-04
1.230268770812381791e-02 1.217067394884525200e+01 1.618178971084843099e+01 1.366965300902646320e-04
1.258925411794167490e-02 1.217376824419723036e+01 1.613573805123798266e+01 1.398806013104630605e-04
1.288249551693134223e-02 1.217687138322503415e+01 1.608968639349129504e+01 1.431388390770149113e-04
1.318256738556407466e-02 1.217998341661989414e+01 1.604363473769019421e+01 1.464729709507119515e-04
1.348962882591653312e-02 1.218310439550991653e+01 1.599758308392008743e+01 1.498847647324059301e-04
1.380384264602885214e-02 1.218623437146511890e+01 1.595153143227010695e+01 1.533760294003205739e-04
1.412537544622754007e-02 1.218937339650251594e+01 1.590547978283328590e+01 1.569486160691948879e-04
1.445439770745927249e-02 1.219252152309130466e+01 1.585942813570669330e+01 1.606044189717696950e-04
1.479108388168207111e-02 1.219567880415810102e+01 1.581337649099165432e+01 1.643453764631341168e-04
1.513561248436207964e-02 1.219884529309226551e+01 1.576732484879392082e+01 1.681734720484675389e-04
1.548816618912481069e-02 1.220202104375130503e+01 1.572127320922382587e+01 1.720907354347201085e-04
1.584893192461113431e-02 1.220520611046634762e+01 1.567522157239652536e+01 1.760992436067903752e-04
1.621810097358929864e-02 1.220840054804770425e+01 1.562916993843220581e+01 1.802011219287699825e-04
1.659586907437560557e-02 1.221160441179050338e+01 1.558311830745628335e+01 1.843985452708400685e-04
1.698243652461744330e-02 1.221481775748042153e+01 1.553706667959962218e+01 1.886937391624160390e-04
1.737800828749375484e-02 1.221804064139947599e+01 1.549101505499879927e+01 1.930889809721528249e-04
1.778279410038922925e-02 1.222127312033193469e+01 1.544496343379632108e+01 1.975866011154358854e-04
1.819700858609983596e-02 1.222451525157027774e+01 1.539891181614092019e+01 2.021889842899981767e-04
1.862087136662867598e-02 1.222776709292128139e+01 1.535286020218778269e+01 2.068985707403186232e-04
1.905460717963247327e-02 1.223102870271216247e+01 1.530680859209883948e+01 2.117178575514719373e-04
1.949844599758045541e-02 1.223430013979683473e+01 1.526075698604308251e+01 2.166493999731161700e-04
1.995262314968879874e-02 1.223758146356225573e+01 1.521470538419681873e+01 2.216958127743199854e-04
