isoregion_69.reg 69 RMS = 0.00303303 mean = -0.000881666 npixel = 231391
# isoregion_70.reg 70 RMS = 0.00313197 mean = -0.000868691 npixel = 814540
# isoregion_71.reg 71 RMS = 0.00142173 mean = -0.00100122 npixel = 198373
# isoregion_72.reg 72 RMS = 0.00162382 mean = -0.00100551 npixel = 201050
# isoregion_73.reg 73 RMS = 0.00146828 mean = -0.00102085 npixel = 203888
# isoregion_74.reg 74 RMS = 0.00147871 mean = -0.00104268 npixel = 206664
# isoregion_75.reg 75 RMS = 0.00143211 mean = -0.00105541 npixel = 209429
# isoregion_76.reg 76 RMS = 0.00150777 mean = -0.00103325 npixel = 212168
# isoregion_77.reg 77 RMS = 0.0014946 mean = -0.00105987 npixel = 215004
# isoregion_78.reg 78 RMS = 0.00153594 mean = -0.00108314 npixel = 217723
# isoregion_79.reg 79 RMS = 0.00170273 mean = -0.00109838 npixel = 220563
