Sp_001150.bin 1.00052 -0.000153327 -0.000172692 -0.000127643 11.0933 11.2429 10.9167 2.12479 2.26338e-05 -3.05649e-05 -3.88295e-05 0.242511 0.242104 0.24364 0.309958 -1.07351 -1.07657 -0.595907
Sp_001200.bin 1.00052 -0.000132047 -0.00019904 -0.000155739 11.0949 11.2447 10.9183 2.12297 3.05194e-05 -3.57603e-05 -3.06904e-05 0.242071 0.241948 0.243359 0.310675 -1.24205 -1.01754 -0.265417
Sp_001250.bin 1.00052 -0.000105323 -0.00022964 -0.000176177 11.0966 11.2466 10.92 2.12052 3.49305e-05 -4.04453e-05 -2.13963e-05 0.242005 0.241217 0.24311 0.310501 -1.33737 -0.897389 0.0822227
Sp_001300.bin 1.00052 -7.9502e-05 -0.000263744 -0.000191037 11.0982 11.2485 10.9218 2.12716 2.93969e-05 -4.61494e-05 -1.63171e-05 0.242522 0.241099 0.242594 0.310743 -1.35548 -0.720401 0.425262
Sp_001350.bin 1.00052 -5.62112e-05 -0.000304191 -0.000201937 11.0999 11.2504 10.9236 2.12569 2.96302e-05 -5.43736e-05 -9.89551e-06 0.242893 0.241756 0.242485 0.310963 -1.2951 -0.496206 0.744562
Sp_001400.bin 1.00052 -3.29359e-05 -0.000349872 -0.000205314 11.1017 11.2524 10.9254 2.12323 2.57274e-05 -5.91815e-05 1.16307e-06 0.243149 0.241977 0.24279 0.310671 -1.15356 -0.235999 1.01783
Sp_001450.bin 1.00052 -1.96946e-05 -0.000400662 -0.000203791 11.1036 11.2544 10.9273 2.12057 5.90016e-06 -6.70714e-05 2.11104e-06 0.242161 0.242645 0.24265 0.311088 -0.934369 0.0421173 1.22623
Sp_001500.bin 1.00052 -2.35103e-05 -0.000457583 -0.000201217 11.1055 11.2565 10.9293 2.11577 -1.55092e-05 -7.38973e-05 2.33425e-06 0.241942 0.243282 0.242367 0.31157 -0.65106 0.320603 1.35088
Sp_001550.bin 1.00052 -4.51639e-05 -0.000514898 -0.000201939 11.1074 11.2586 10.9312 2.12074 -3.81362e-05 -6.90809e-05 -5.25101e-06 0.243105 0.242416 0.242727 0.311404 -0.322776 0.580774 1.38039
Sp_001600.bin 1.00052 -8.28895e-05 -0.000568779 -0.000211635 11.1094 11.2609 10.9333 2.12096 -5.39029e-05 -6.6849e-05 -1.90527e-05 0.243829 0.242571 0.24346 0.311664 0.0270461 0.801648 1.31044
Sp_001650.bin 1.00052 -0.000128438 -0.000624315 -0.000232613 11.1114 11.2631 10.9354 2.11246 -5.80939e-05 -7.34598e-05 -3.25599e-05 0.24376 0.242085 0.243142 0.312292 0.373549 0.967268 1.14815
Sp_001700.bin 1.00052 -0.000174136 -0.00068708 -0.000257521 11.1136 11.2654 10.9376 2.11566 -5.52077e-05 -8.33e-05 -2.61265e-05 0.243444 0.242971 0.242261 0.312091 0.691785 1.06672 0.909293
Sp_001750.bin 1.00052 -0.000213284 -0.000758285 -0.000272493 11.1158 11.2678 10.9398 2.11746 -4.06455e-05 -9.34388e-05 -1.02057e-05 0.243079 0.243355 0.241764 0.31118 0.960586 1.09678 0.612605
Sp_001800.bin 1.00052 -0.000236164 -0.000833063 -0.000271633 11.1181 11.2702 10.942 2.11286 -1.71536e-05 -9.04067e-05 1.12721e-05 0.242619 0.24368 0.24271 0.310171 1.16283 1.0594 0.277758
Sp_001850.bin 1.00052 -0.000241929 -0.000900816 -0.000258036 11.1205 11.2727 10.9443 2.11325 -9.91888e-07 -7.98315e-05 2.03062e-05 0.242249 0.24348 0.243213 0.309826 1.2862 0.959745 -0.0720671
Sp_001900.bin 1.00052 -0.000241168 -0.000964297 -0.000240567 11.1229 11.2752 10.9466 2.11316 1.95314e-06 -7.94808e-05 2.28293e-05 0.241515 0.242865 0.242501 0.309309 1.32921 0.805198 -0.413954
Sp_001950.bin 1.00052 -0.000241088 -0.00102848 -0.000225116 11.1253 11.2779 10.949 2.12051 -1.54588e-06 -8.25072e-05 1.13982e-05 0.24205 0.242962 0.241537 0.310144 1.29052 0.606237 -0.728105
Sp_002000.bin 1.00052 -0.000244764 -0.00109695 -0.000225067 11.1278 11.2805 10.9514 2.13488 -7.58603e-06 -8.91197e-05 -9.50077e-06 0.242211 0.242172 0.241836 0.310101 1.17291 0.374291 -0.996995
Sp_002050.bin 1.00052 -0.000251191 -0.00117288 -0.000239532 11.1303 11.2833 10.9538 2.14152 -7.48253e-06 -9.98015e-05 -2.61647e-05 0.242481 0.241673 0.242267 0.309061 0.983023 0.122475 -1.20484
Sp_002100.bin 1.00052 -0.000255181 -0.00125606 -0.000266045 11.1329 11.286 10.9563 2.14158 -1.92924e-06 -0.000107255 -3.93746e-05 0.241927 0.241664 0.24243 0.309117 0.731681 -0.133178 -1.33949
Sp_002150.bin 1.00052 -0.000252846 -0.00134389 -0.000301523 11.1356 11.2888 10.9588 2.13773 8.70813e-06 -0.000111075 -4.86903e-05 0.242472 0.241366 0.242576 0.308611 0.43443 -0.376751 -1.38794
Sp_002200.bin 1.00052 -0.000239801 -0.00143215 -0.000341689 11.1383 11.2915 10.9615 2.13954 2.40664e-05 -0.000109582 -4.8232e-05 0.242609 0.241129 0.242204 0.307738 0.108134 -0.592472 -1.34415
Sp_002250.bin 1.00052 -0.000217825 -0.00151597 -0.000375593 11.1412 11.2943 10.9641 2.13182 2.89816e-05 -9.91112e-05 -3.82825e-05 0.242044 0.242439 0.24151 0.307446 -0.227184 -0.764719 -1.20697
Sp_002300.bin 1.00052 -0.000194347 -0.001591 -0.000405496 11.144 11.2971 10.9668 2.13069 2.69025e-05 -8.89569e-05 -3.62961e-05 0.241386 0.242943 0.241091 0.307747 -0.548988 -0.879153 -0.982985
Sp_002350.bin 1.00052 -0.000177545 -0.00165658 -0.000433222 11.1469 11.3001 10.9695 2.12067 1.55724e-05 -7.54311e-05 -3.34536e-05 0.241891 0.243091 0.240944 0.307955 -0.834093 -0.92624 -0.685932
Sp_002400.bin 1.00052 -0.000169198 -0.00171191 -0.000459138 11.1498 11.303 10.9722 2.12503 5.7994e-06 -6.38134e-05 -3.16781e-05 0.24249 0.242507 0.240657 0.308834 -1.06081 -0.901052 -0.336156
Sp_002450.bin 1.00052 -0.000167148 -0.00175924 -0.000483678 11.1528 11.306 10.975 2.12617 7.61945e-08 -5.50139e-05 -2.83387e-05 0.242495 0.242693 0.240634 0.307877 -1.21176 -0.80819 0.0407527
Sp_002500.bin 1.00052 -0.000167752 -0.00179876 -0.000502777 11.1558 11.3092 10.9777 2.13927 -4.4147e-07 -4.47784e-05 -1.98681e-05 0.242031 0.242568 0.241804 0.308769 -1.27429 -0.653239 0.41844
Sp_002550.bin 1.00052 -0.000168856 -0.00183263 -0.000516118 11.1589 11.3123 10.9804 2.13569 -5.18036e-06 -4.03434e-05 -1.735e-05 0.241841 0.243076 0.241891 0.308661 -1.2449 -0.447588 0.76925
Sp_002600.bin 1.00052 -0.000177031 -0.00186593 -0.000531062 11.162 11.3155 10.9833 2.13476 -1.25045e-05 -4.36996e-05 -1.92325e-05 0.240821 0.242021 0.242061 0.30665 -1.12962 -0.207304 1.07029
Sp_002650.bin 1.00052 -0.000186889 -0.00190133 -0.000546062 11.1652 11.3188 10.9861 2.13902 -1.15219e-05 -4.42445e-05 -1.82608e-05 0.240402 0.242086 0.242147 0.306883 -0.939455 0.0512942 1.30308
Sp_002700.bin 1.00052 -0.000194964 -0.00193523 -0.000561215 11.1683 11.3221 10.9891 2.13857 -7.78129e-06 -3.97847e-05 -2.09311e-05 0.240421 0.242529 0.24121 0.30729 -0.689867 0.311568 1.45775
Sp_002750.bin 1.00052 -0.000198956 -0.00196497 -0.000581517 11.1714 11.3255 10.9921 2.13626 -2.81956e-06 -3.39532e-05 -2.84254e-05 0.24051 0.242784 0.241087 0.307214 -0.400572 0.556669 1.52702
Sp_002800.bin 1.00052 -0.000201208 -0.00198757 -0.000608805 11.1745 11.3289 10.9951 2.1415 -3.38147e-06 -2.55867e-05 -3.98147e-05 0.240865 0.24201 0.241646 0.307582 -0.0894734 0.77246 1.50932
Sp_002850.bin 1.00052 -0.000204967 -0.00200896 -0.000641797 11.1776 11.3325 10.9981 2.13934 -6.39074e-06 -2.92883e-05 -4.02793e-05 0.241988 0.240664 0.241344 0.305425 0.224268 0.949803 1.40733
Sp_002900.bin 1.00052 -0.000210884 -0.00203564 -0.000671452 11.1808 11.336 11.0012 2.13928 -6.96844e-06 -3.65081e-05 -3.37854e-05 0.242256 0.240585 0.241273 0.306072 0.525198 1.07798 1.2301
Sp_002950.bin 1.00052 -0.000215642 -0.00206403 -0.000696671 11.184 11.3396 11.0044 2.14219 -5.15469e-06 -3.23263e-05 -2.9517e-05 0.241439 0.240955 0.241251 0.306173 0.795689 1.14805 0.987122
Sp_003000.bin 1.00052 -0.000222439 -0.0020837 -0.000719715 11.1873 11.3432 11.0074 2.13655 -1.30895e-05 -1.71715e-05 -2.89811e-05 0.24116 0.24124 0.241211 0.305919 1.0186 1.15747 0.693467
Sp_003050.bin 1.00052 -0.00023301 -0.00209453 -0.000741617 11.1906 11.3468 11.0107 2.12859 -1.05054e-05 -1.14204e-05 -2.32221e-05 0.241269 0.240641 0.241269 0.305573 1.18026 1.10435 0.362878
Sp_003100.bin 1.00052 -0.000237795 -0.00210348 -0.000758038 11.1939 11.3504 11.0139 2.12996 -3.71343e-06 -1.18151e-05 -1.99798e-05 0.241509 0.240524 0.241114 0.306418 1.27062 0.990669 0.01397
Sp_003150.bin 1.00052 -0.000241048 -0.00211483 -0.000775974 11.1972 11.3541 11.0172 2.13695 -4.2798e-06 -1.72832e-05 -2.77176e-05 0.241171 0.240923 0.240937 0.306728 1.28186 0.820917 -0.333459
Sp_003200.bin 1.00052 -0.000243419 -0.00213193 -0.000803574 11.2006 11.3578 11.0205 2.13743 -8.94253e-07 -2.72158e-05 -3.93612e-05 0.241254 0.240908 0.241366 0.304835 1.21182 0.600335 -0.656012
Sp_003250.bin 1.00052 -0.000240678 -0.00215856 -0.000836262 11.204 11.3615 11.0238 2.13606 7.83072e-06 -3.84567e-05 -4.09499e-05 0.242456 0.241946 0.241486 0.305175 1.06066 0.341544 -0.93092
Sp_003300.bin 1.00052 -0.00023476 -0.00219226 -0.000868784 11.2075 11.3652 11.0272 2.13096 4.40122e-06 -4.37982e-05 -4.01159e-05 0.242507 0.241752 0.241507 0.306189 0.829696 0.0609389 -1.13521
Sp_003350.bin 1.00052 -0.000232145 -0.00222873 -0.000899011 11.2111 11.369 11.0306 2.13055 3.69516e-06 -4.75445e-05 -3.44436e-05 0.2417 0.241036 0.242795 0.307001 0.533766 -0.219452 -1.25029
Sp_003400.bin 1.00052 -0.000228945 -0.00226614 -0.000923238 11.2147 11.3728 11.034 2.12497 3.65476e-06 -4.37264e-05 -2.60309e-05 0.241929 0.240009 0.24138 0.306469 0.194083 -0.479003 -1.26242
Sp_003450.bin 1.00052 -0.000229468 -0.00229551 -0.000939659 11.2183 11.3766 11.0376 2.12958 -5.55679e-06 -3.02914e-05 -1.48866e-05 0.241224 0.240889 0.240516 0.304882 -0.160445 -0.697731 -1.16679
Sp_003500.bin 1.00052 -0.000236977 -0.00231346 -0.000947936 11.222 11.3804 11.0411 2.12776 -1.09348e-05 -1.41563e-05 -5.60187e-06 0.241397 0.24256 0.239361 0.306006 -0.504195 -0.857606 -0.974684
