-2.000000e+00 1.000000e-02 1.106804e+02
-1.950000e+00 1.122018e-02 9.505605e+01
-1.900000e+00 1.258925e-02 8.163759e+01
-1.850000e+00 1.412538e-02 7.011360e+01
-1.800000e+00 1.584893e-02 6.021662e+01
-1.750000e+00 1.778279e-02 5.171694e+01
-1.700000e+00 1.995262e-02 4.441728e+01
-1.650000e+00 2.238721e-02 3.814822e+01
-1.600000e+00 2.511886e-02 3.276425e+01
-1.550000e+00 2.818383e-02 2.814041e+01
-1.500000e+00 3.162278e-02 2.416938e+01
-1.450000e+00 3.548134e-02 2.075900e+01
-1.400000e+00 3.981072e-02 1.783012e+01
-1.350000e+00 4.466836e-02 1.531474e+01
-1.300000e+00 5.011872e-02 1.315450e+01
-1.250000e+00 5.623413e-02 1.129925e+01
-1.200000e+00 6.309573e-02 9.705928e+00
-1.150000e+00 7.079458e-02 8.337561e+00
-1.100000e+00 7.943282e-02 7.162386e+00
-1.050000e+00 8.912509e-02 6.153127e+00
-1.000000e+00 1.000000e-01 5.286359e+00
-9.500000e-01 1.122018e-01 4.541966e+00
-9.000000e-01 1.258925e-01 3.902669e+00
-8.500000e-01 1.412538e-01 3.353631e+00
-8.000000e-01 1.584893e-01 2.882109e+00
-7.500000e-01 1.778279e-01 2.477158e+00
-7.000000e-01 1.995262e-01 2.129380e+00
-6.500000e-01 2.238721e-01 1.830703e+00
-6.000000e-01 2.511886e-01 1.574195e+00
-5.500000e-01 2.818383e-01 1.353903e+00
-5.000000e-01 3.162278e-01 1.164712e+00
-4.500000e-01 3.548134e-01 1.002234e+00
-4.000000e-01 3.981072e-01 8.626950e-01
-3.500000e-01 4.466836e-01 7.428581e-01
-3.000000e-01 5.011872e-01 6.399417e-01
-2.500000e-01 5.623413e-01 5.515572e-01
-2.000000e-01 6.309573e-01 4.756534e-01
-1.500000e-01 7.079458e-01 4.104687e-01
-1.000000e-01 7.943282e-01 3.544906e-01
-5.000000e-02 8.912509e-01 3.064201e-01
0.000000e+00 1.000000e+00 2.651419e-01
5.000000e-02 1.122018e+00 2.296986e-01
1.000000e-01 1.258925e+00 1.992682e-01
1.500000e-01 1.412538e+00 1.731455e-01
2.000000e-01 1.584893e+00 1.507254e-01
2.500000e-01 1.778279e+00 1.314893e-01
3.000000e-01 1.995262e+00 1.149930e-01
3.500000e-01 2.238721e+00 1.008568e-01
4.000000e-01 2.511886e+00 8.875702e-02
4.500000e-01 2.818383e+00 7.841917e-02
5.000000e-01 3.162278e+00 6.961279e-02
5.500000e-01 3.548134e+00 6.214813e-02
6.000000e-01 3.981072e+00 5.587569e-02
6.500000e-01 4.466836e+00 5.069129e-02
7.000000e-01 5.011872e+00 4.655386e-02
7.500000e-01 5.623413e+00 4.354361e-02
8.000000e-01 6.309573e+00 4.210682e-02
8.500000e-01 7.079458e+00 4.407690e-02
